T,Combo ID,Combo Descricao,Link Original,Link Convertido,Produto,Nicho,Vendas,Nota,Desconto%,Preco Min,Comissao
T4028,,,https://s.shopee.com.br/110CedcBAo,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/110CedcBAo|||N200T4028,,Grupo_63,0,0.0,0,0,0
T4029,,,https://s.shopee.com.br/AAFdphVBQd,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/AAFdphVBQd|||N200T4029,,Grupo_63,0,0.0,0,0,0
T4030,,,https://s.shopee.com.br/9AGwRUpxel,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/9AGwRUpxel|||N200T4030,,Grupo_63,0,0.0,0,0,0
T4031,,,https://s.shopee.com.br/3LPApiSY4D,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/3LPApiSY4D|||N200T4031,,Grupo_63,0,0.0,0,0,0
T4032,,,https://s.shopee.com.br/5fmVzQMyry,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/5fmVzQMyry|||N200T4032,,Grupo_63,0,0.0,0,0,0
T4033,,,https://s.shopee.com.br/5LAW04L9ru,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/5LAW04L9ru|||N200T4033,,Grupo_63,0,0.0,0,0,0
T4034,,,https://s.shopee.com.br/8pjhEiSCbi,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/8pjhEiSCbi|||N200T4034,,Grupo_63,0,0.0,0,0,0
T4035,,,https://s.shopee.com.br/8AVCTF3MQJ,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/8AVCTF3MQJ|||N200T4035,,Grupo_63,0,0.0,0,0,0
T4036,,,https://s.shopee.com.br/18wNuNRxU,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/18wNuNRxU|||N200T4036,,Grupo_63,0,0.0,0,0,0
T4037,,,https://s.shopee.com.br/6pqSlDTkId,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/6pqSlDTkId|||N200T4037,,Grupo_63,0,0.0,0,0,0
T4038,,,https://s.shopee.com.br/9pcFdnaG5X,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/9pcFdnaG5X|||N200T4038,,Grupo_63,0,0.0,0,0,0
T4039,,,https://s.shopee.com.br/9zwP0ppAFS,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/9zwP0ppAFS|||N200T4039,,Grupo_63,0,0.0,0,0,0
T4040,,,https://s.shopee.com.br/7pqWoq9wQU,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/7pqWoq9wQU|||N200T4040,,Grupo_63,0,0.0,0,0,0
T4041,,,https://s.shopee.com.br/80AkPd7ETx,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/80AkPd7ETx|||N200T4041,,Grupo_63,0,0.0,0,0,0
T4042,,,https://s.shopee.com.br/qh5AR4xxS,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/qh5AR4xxS|||N200T4042,,Grupo_63,0,0.0,0,0,0
T4043,,,https://s.shopee.com.br/W5W9Lk9zN,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/W5W9Lk9zN|||N200T4043,,Grupo_63,0,0.0,0,0,0
T4044,,,https://s.shopee.com.br/2VpfS7scIG,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/2VpfS7scIG|||N200T4044,,Grupo_63,0,0.0,0,0,0
T4045,,,https://s.shopee.com.br/7fV64dRkSl,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/7fV64dRkSl|||N200T4045,,Grupo_63,0,0.0,0,0,0
T4046,,,https://s.shopee.com.br/qgpbW6uYo,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/qgpbW6uYo|||N200T4046,,Grupo_63,0,0.0,0,0,0
T4047,,,https://s.shopee.com.br/6AkLwm2ZrT,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/6AkLwm2ZrT|||N200T4047,,Grupo_63,0,0.0,0,0,0
T4048,,,https://s.shopee.com.br/180IKTy5P,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/180IKTy5P|||N200T4048,,Grupo_63,0,0.0,0,0,0
T4049,,,https://s.shopee.com.br/4AxLsEalWj,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/4AxLsEalWj|||N200T4049,,Grupo_63,0,0.0,0,0,0
